Date,Open,High,Low,Close,Adj Close,Volume
12-Sep-24,"57,344.03","58,506.21","57,344.03","58,262.63","58,262.63","32,408,008,704"
11-Sep-24,"57,650.29","57,991.32","55,567.34","57,343.17","57,343.17","37,049,062,672"
10-Sep-24,"57,020.10","58,029.98","56,419.41","57,648.71","57,648.71","28,857,630,507"
9-Sep-24,"54,851.89","58,041.13","54,598.43","57,019.54","57,019.54","34,618,096,173"
8-Sep-24,"54,147.93","55,300.86","53,653.76","54,841.57","54,841.57","18,268,287,531"
7-Sep-24,"53,949.09","54,838.14","53,740.07","54,139.69","54,139.69","19,061,486,526"
6-Sep-24,"56,160.19","56,976.11","52,598.70","53,948.75","53,948.75","49,361,693,566"
5-Sep-24,"57,971.70","58,300.58","55,712.45","56,160.49","56,160.49","31,030,280,656"
4-Sep-24,"57,430.35","58,511.57","55,673.16","57,971.54","57,971.54","35,627,680,312"
3-Sep-24,"59,106.19","59,815.06","57,425.17","57,431.02","57,431.02","26,666,961,053"
2-Sep-24,"57,326.97","59,403.07","57,136.03","59,112.48","59,112.48","27,036,454,524"
1-Sep-24,"58,969.80","59,062.07","57,217.82","57,325.49","57,325.49","24,592,449,997"
31-Aug-24,"59,117.48","59,432.59","58,768.79","58,969.90","58,969.90","12,403,470,760"
30-Aug-24,"59,388.60","59,896.89","57,768.53","59,119.48","59,119.48","32,292,756,405"
29-Aug-24,"59,027.47","61,184.08","58,786.23","59,388.18","59,388.18","32,224,990,582"
28-Aug-24,"59,507.93","60,236.45","57,890.68","59,027.63","59,027.63","40,289,564,698"
27-Aug-24,"62,879.71","63,210.80","58,116.75","59,504.13","59,504.13","39,103,882,198"
26-Aug-24,"64,342.23","64,489.71","62,849.56","62,880.66","62,880.66","27,682,040,631"
25-Aug-24,"64,176.37","64,996.42","63,833.52","64,333.54","64,333.54","18,827,683,555"
24-Aug-24,"64,103.87","64,513.79","63,619.92","64,178.99","64,178.99","21,430,585,163"
23-Aug-24,"60,380.95","64,947.06","60,372.05","64,094.36","64,094.36","42,530,509,233"
22-Aug-24,"61,168.32","61,408.11","59,815.25","60,381.91","60,381.91","27,625,734,377"
21-Aug-24,"59,014.99","61,834.35","58,823.45","61,175.19","61,175.19","32,731,154,072"
20-Aug-24,"59,493.45","61,396.33","58,610.88","59,012.79","59,012.79","31,613,400,008"
19-Aug-24,"58,480.71","59,612.66","57,864.71","59,493.45","59,493.45","25,911,207,712"
18-Aug-24,"59,468.13","60,262.72","58,445.40","58,483.96","58,483.96","17,740,625,837"
17-Aug-24,"58,893.53","59,694.67","58,814.83","59,478.97","59,478.97","13,589,684,021"
16-Aug-24,"57,560.27","59,847.36","57,110.02","58,894.11","58,894.11","29,350,938,673"
15-Aug-24,"58,733.26","59,838.65","56,161.59","57,560.10","57,560.10","35,682,112,440"
14-Aug-24,"60,611.05","61,687.76","58,472.88","58,737.27","58,737.27","29,961,696,180"
13-Aug-24,"59,356.21","61,572.40","58,506.25","60,609.57","60,609.57","30,327,698,167"
12-Aug-24,"58,719.39","60,680.33","57,688.90","59,354.52","59,354.52","37,078,637,820"
11-Aug-24,"60,944.89","61,778.66","58,348.82","58,719.48","58,719.48","22,759,754,812"
10-Aug-24,"60,881.23","61,464.51","60,287.57","60,945.81","60,945.81","15,745,822,278"
9-Aug-24,"61,728.21","61,751.86","59,587.86","60,880.11","60,880.11","33,425,553,115"
8-Aug-24,"55,030.03","62,673.77","54,766.73","61,710.14","61,710.14","45,298,472,567"
7-Aug-24,"56,040.63","57,726.88","54,620.51","55,027.46","55,027.46","41,637,562,185"
6-Aug-24,"53,991.35","57,059.92","53,973.27","56,034.32","56,034.32","49,300,484,106"
5-Aug-24,"58,110.30","58,268.83","49,121.24","53,991.46","53,991.46","108,991,085,584"
4-Aug-24,"60,676.09","61,062.99","57,210.80","58,116.98","58,116.98","31,758,917,219"
3-Aug-24,"61,414.81","62,148.37","59,836.53","60,680.09","60,680.09","31,753,030,589"
2-Aug-24,"65,353.50","65,523.22","61,184.89","61,415.07","61,415.07","43,060,875,727"
1-Aug-24,"64,625.84","65,593.24","62,248.94","65,357.50","65,357.50","40,975,554,494"
31-Jul-24,"66,201.27","66,810.21","64,532.05","64,619.25","64,619.25","31,292,785,994"
30-Jul-24,"66,819.05","66,987.67","65,323.19","66,201.02","66,201.02","31,380,492,109"
29-Jul-24,"68,259.05","69,987.54","66,532.59","66,819.91","66,819.91","40,780,682,628"
28-Jul-24,"67,808.66","68,301.85","67,085.83","68,255.87","68,255.87","18,043,166,945"
27-Jul-24,"67,911.81","69,398.51","66,705.22","67,813.34","67,813.34","34,691,905,492"
26-Jul-24,"65,771.81","68,207.60","65,743.77","67,912.06","67,912.06","30,488,630,457"
25-Jul-24,"65,375.88","66,112.42","63,473.47","65,777.23","65,777.23","38,315,761,670"
24-Jul-24,"65,927.86","67,113.98","65,147.00","65,372.13","65,372.13","27,470,942,309"
23-Jul-24,"67,584.80","67,779.02","65,484.46","65,927.67","65,927.67","35,605,668,666"
22-Jul-24,"68,152.98","68,480.06","66,611.30","67,585.25","67,585.25","42,649,109,453"
21-Jul-24,"67,164.91","68,372.91","65,842.30","68,154.52","68,154.52","26,652,190,004"
20-Jul-24,"66,709.92","67,610.73","66,299.62","67,163.65","67,163.65","19,029,581,250"
19-Jul-24,"63,972.32","67,442.64","63,329.34","66,710.16","66,710.16","37,003,855,410"
18-Jul-24,"64,104.74","65,104.66","63,246.16","63,974.07","63,974.07","27,239,305,337"
17-Jul-24,"65,091.83","66,066.73","63,896.09","64,118.79","64,118.79","32,525,071,311"
16-Jul-24,"64,784.42","65,354.34","62,487.97","65,097.15","65,097.15","41,617,346,768"
15-Jul-24,"60,815.46","64,870.15","60,704.93","64,870.15","64,870.15","38,094,526,099"
14-Jul-24,"59,225.25","61,329.53","59,225.25","60,787.79","60,787.79","22,223,416,061"
13-Jul-24,"57,908.74","59,787.08","57,796.44","59,231.95","59,231.95","17,080,061,806"
12-Jul-24,"57,341.20","58,532.55","56,590.18","57,899.46","57,899.46","25,604,805,221"
11-Jul-24,"57,729.89","59,299.43","57,120.38","57,344.91","57,344.91","28,707,803,842"
10-Jul-24,"58,033.88","59,359.43","57,178.41","57,742.50","57,742.50","26,175,260,526"
9-Jul-24,"56,704.60","58,239.20","56,316.88","58,009.23","58,009.23","27,849,512,607"
8-Jul-24,"55,849.57","58,131.34","54,321.02","56,705.10","56,705.10","39,766,159,899"
7-Jul-24,"58,239.43","58,371.12","55,793.32","55,849.11","55,849.11","20,553,359,505"
6-Jul-24,"56,659.07","58,472.55","56,038.96","58,303.54","58,303.54","20,610,320,577"
5-Jul-24,"57,022.81","57,497.15","53,717.38","56,662.38","56,662.38","55,417,544,033"
4-Jul-24,"60,147.14","60,399.68","56,777.80","56,977.70","56,977.70","41,149,609,230"
3-Jul-24,"62,034.33","62,187.70","59,419.39","60,173.92","60,173.92","29,756,701,685"
2-Jul-24,"62,844.41","63,203.36","61,752.75","62,029.02","62,029.02","20,151,616,992"
1-Jul-24,"62,673.61","63,777.23","62,495.51","62,851.98","62,851.98","25,468,379,421"
30-Jun-24,"60,888.45","62,892.83","60,632.95","62,678.29","62,678.29","17,333,226,409"
29-Jun-24,"60,319.88","61,097.62","60,300.96","60,887.38","60,887.38","12,652,903,396"
28-Jun-24,"61,612.80","62,126.10","59,985.40","60,320.14","60,320.14","24,952,866,877"
27-Jun-24,"60,811.23","62,293.86","60,585.33","61,604.80","61,604.80","21,231,745,045"
26-Jun-24,"61,789.68","62,434.14","60,695.19","60,811.28","60,811.28","22,506,003,064"
25-Jun-24,"60,266.28","62,258.26","60,239.75","61,804.64","61,804.64","29,201,215,431"
